Transaction ID,Date,Time,Product ID,Customer ID,Quantity,Price (Rupees)
TRANS-01240,29-02-2020,16:11:54,PROD-109,1,14,2100
TRANS-04822,02-07-2023,04:23:46,PROD-006,2,19,95
TRANS-01755,27-08-2020,04:51:02,PROD-119,4,14,560
TRANS-03273,25-01-2022,08:40:36,PROD-003,12,9,720
TRANS-01605,04-07-2020,09:15:16,PROD-106,18,8,400
TRANS-03860,11-08-2022,04:55:58,PROD-008,21,6,360
TRANS-01266,10-03-2020,19:57:57,PROD-108,26,6,180
TRANS-03157,17-12-2021,13:28:47,PROD-065,28,18,360
TRANS-04168,17-11-2022,02:23:44,PROD-056,28,6,420
TRANS-04960,22-08-2023,01:28:57,PROD-050,32,19,285
TRANS-02561,01-06-2021,14:37:01,PROD-123,48,6,90
TRANS-04472,04-03-2023,21:44:38,PROD-149,55,15,600
TRANS-04307,04-01-2023,08:09:35,PROD-094,56,19,760
TRANS-03504,15-04-2022,04:34:44,PROD-059,58,4,480
TRANS-01214,20-02-2020,15:40:26,PROD-102,60,3,60
TRANS-03819,03-08-2022,14:32:23,PROD-123,64,20,300
TRANS-00793,08-10-2019,10:07:39,PROD-109,66,4,600
TRANS-02681,14-07-2021,10:02:02,PROD-099,66,1,80
TRANS-01481,24-05-2020,19:15:08,PROD-130,67,20,600
TRANS-01669,25-07-2020,11:08:00,PROD-087,69,15,75
TRANS-02880,20-09-2021,13:37:48,PROD-039,74,3,30
TRANS-03212,06-01-2022,23:04:04,PROD-121,75,2,100
TRANS-04866,17-07-2023,06:52:02,PROD-106,76,14,700
TRANS-03107,06-12-2021,02:11:29,PROD-025,78,5,250
TRANS-04217,04-12-2022,05:15:59,PROD-087,91,11,55
TRANS-04851,12-07-2023,08:08:11,PROD-028,93,9,135
TRANS-01856,01-10-2020,19:26:30,PROD-036,98,4,80
TRANS-02821,01-09-2021,00:22:35,PROD-126,100,5,125
TRANS-04498,11-03-2023,13:32:34,PROD-107,104,15,1125
TRANS-03072,26-11-2021,14:02:34,PROD-096,105,17,340
TRANS-04475,05-03-2023,14:38:20,PROD-081,105,15,450
TRANS-04485,08-03-2023,08:17:11,PROD-001,109,3,150
TRANS-02284,26-02-2021,05:40:24,PROD-027,118,3,90
TRANS-03135,12-12-2021,02:28:26,PROD-123,120,3,45
TRANS-02577,06-06-2021,13:29:41,PROD-042,122,16,160
TRANS-00608,11-08-2019,04:43:29,PROD-118,126,1,200
TRANS-04019,28-09-2022,01:40:32,PROD-144,132,12,480
TRANS-01728,18-08-2020,17:12:40,PROD-130,138,5,150
TRANS-01551,18-06-2020,13:17:29,PROD-041,142,9,45
TRANS-01456,16-05-2020,11:01:33,PROD-120,143,8,96
TRANS-01125,21-01-2020,05:51:50,PROD-024,145,11,440
TRANS-04500,12-03-2023,16:18:10,PROD-115,145,5,75
TRANS-02590,12-06-2021,23:53:03,PROD-129,148,11,2750
TRANS-01385,22-04-2020,09:21:04,PROD-028,151,12,180
TRANS-02333,16-03-2021,18:51:49,PROD-020,151,6,60
TRANS-01419,30-04-2020,02:23:31,PROD-023,153,16,320
TRANS-01411,28-04-2020,18:53:23,PROD-089,154,20,300
TRANS-01400,26-04-2020,11:14:49,PROD-006,156,6,30
TRANS-02469,03-05-2021,18:09:05,PROD-127,162,4,80
TRANS-02000,18-11-2020,23:47:51,PROD-055,164,13,260
TRANS-00393,18-05-2019,06:16:22,PROD-022,171,13,195
TRANS-02395,03-04-2021,10:28:39,PROD-047,172,9,225
TRANS-02755,07-08-2021,09:56:08,PROD-035,175,3,15
TRANS-00825,19-10-2019,12:02:17,PROD-136,178,3,75
TRANS-01209,19-02-2020,06:01:59,PROD-025,178,3,150
TRANS-00926,26-11-2019,05:18:50,PROD-033,190,18,180
TRANS-03866,12-08-2022,20:27:29,PROD-113,191,11,110
TRANS-01131,24-01-2020,02:26:45,PROD-115,192,17,255
TRANS-01729,18-08-2020,08:05:26,PROD-037,193,20,600
TRANS-00813,13-10-2019,13:07:49,PROD-152,198,14,840
TRANS-02161,15-01-2021,10:41:32,PROD-082,203,14,840
TRANS-03693,17-06-2022,19:57:27,PROD-075,209,14,210
TRANS-03299,03-02-2022,21:41:45,PROD-100,211,4,160
TRANS-03710,21-06-2022,09:15:46,PROD-050,212,16,240
TRANS-01077,08-01-2020,07:06:29,PROD-065,215,15,300
TRANS-00727,17-09-2019,17:12:41,PROD-026,220,1,10
TRANS-02499,15-05-2021,02:21:14,PROD-061,223,3,120
TRANS-03990,20-09-2022,10:06:34,PROD-141,223,20,3600
TRANS-03738,01-07-2022,18:52:07,PROD-156,224,9,135
TRANS-03997,22-09-2022,02:10:57,PROD-128,225,13,780
TRANS-01107,15-01-2020,03:55:44,PROD-029,228,9,630
TRANS-02556,31-05-2021,02:26:15,PROD-097,229,2,30
TRANS-01697,04-08-2020,06:42:53,PROD-010,231,19,1900
TRANS-03697,17-06-2022,11:17:01,PROD-145,233,10,150
TRANS-04126,08-11-2022,06:15:42,PROD-090,233,13,130
TRANS-03740,02-07-2022,20:54:47,PROD-082,235,12,720
TRANS-02825,02-09-2021,06:10:09,PROD-049,237,16,400
TRANS-04527,21-03-2023,23:53:31,PROD-038,238,15,375
TRANS-01155,04-02-2020,08:29:26,PROD-122,240,15,150
TRANS-00147,17-02-2019,04:11:22,PROD-116,242,19,152
TRANS-04881,23-07-2023,00:38:21,PROD-030,244,18,2700
TRANS-01955,30-10-2020,04:11:05,PROD-102,246,10,200
TRANS-01933,23-10-2020,02:26:20,PROD-150,250,17,2040
TRANS-03105,05-12-2021,02:05:50,PROD-065,250,12,240
TRANS-02073,16-12-2020,22:39:17,PROD-054,261,3,150
TRANS-00211,16-03-2019,17:47:22,PROD-144,262,12,480
TRANS-04377,01-02-2023,22:22:40,PROD-115,270,6,90
TRANS-00772,01-10-2019,22:23:33,PROD-145,271,18,270
TRANS-04968,26-08-2023,14:54:15,PROD-060,271,15,2700
TRANS-00260,31-03-2019,18:32:46,PROD-038,272,20,500
TRANS-01531,11-06-2020,22:12:56,PROD-130,277,19,570
TRANS-00013,05-01-2019,15:33:01,PROD-104,279,20,200
TRANS-02668,06-07-2021,14:52:33,PROD-004,282,16,640
TRANS-01331,04-04-2020,10:06:22,PROD-063,283,4,160
TRANS-04120,04-11-2022,12:46:36,PROD-139,292,6,150
TRANS-01109,16-01-2020,02:09:01,PROD-002,294,15,450
TRANS-03534,27-04-2022,03:15:17,PROD-109,294,6,900
TRANS-00174,27-02-2019,15:12:40,PROD-129,298,13,3250
TRANS-04503,13-03-2023,11:12:03,PROD-095,298,2,30
TRANS-01476,23-05-2020,17:46:33,PROD-119,300,16,640
TRANS-00504,03-07-2019,00:58:08,PROD-109,305,15,2250
TRANS-04481,06-03-2023,12:36:35,PROD-057,307,20,500
TRANS-01724,16-08-2020,23:37:59,PROD-108,308,11,330
TRANS-02968,20-10-2021,06:10:33,PROD-125,312,5,150
TRANS-02136,07-01-2021,02:07:15,PROD-155,314,12,480
TRANS-02277,23-02-2021,12:59:38,PROD-089,317,14,210
TRANS-03607,22-05-2022,15:49:09,PROD-153,320,16,480
TRANS-02323,13-03-2021,14:43:35,PROD-013,324,13,910
TRANS-00101,05-02-2019,05:19:19,PROD-037,325,11,330
TRANS-04195,26-11-2022,03:23:14,PROD-035,325,15,75
TRANS-03129,11-12-2021,11:06:28,PROD-003,328,10,800
TRANS-04787,23-06-2023,13:46:58,PROD-047,329,11,275
TRANS-03304,05-02-2022,20:43:08,PROD-111,331,18,3240
TRANS-03254,18-01-2022,06:29:14,PROD-105,340,6,360
TRANS-01359,13-04-2020,19:54:32,PROD-073,343,2,40
TRANS-02177,21-01-2021,07:13:53,PROD-010,343,20,2000
TRANS-04690,20-05-2023,04:48:35,PROD-063,349,11,440
TRANS-02501,16-05-2021,08:37:25,PROD-098,350,2,20
TRANS-02357,23-03-2021,07:28:33,PROD-071,354,13,520
TRANS-03152,16-12-2021,12:18:03,PROD-055,355,1,20
TRANS-04087,22-10-2022,16:06:12,PROD-039,356,17,170
TRANS-04197,26-11-2022,18:38:06,PROD-152,358,16,960
TRANS-01579,27-06-2020,15:34:20,PROD-134,363,18,630
TRANS-02015,25-11-2020,10:10:34,PROD-005,364,2,20
TRANS-03826,04-08-2022,07:49:27,PROD-043,368,12,360
TRANS-04513,17-03-2023,13:43:06,PROD-139,370,8,200
TRANS-00076,28-01-2019,11:27:59,PROD-015,371,15,1200
TRANS-00962,03-12-2019,12:05:32,PROD-104,371,7,70
TRANS-00210,16-03-2019,22:24:43,PROD-007,375,4,600
TRANS-00932,27-11-2019,12:40:25,PROD-086,378,16,160
TRANS-03731,28-06-2022,13:43:38,PROD-136,378,10,250
TRANS-00955,02-12-2019,08:18:49,PROD-026,382,2,20
TRANS-02565,02-06-2021,19:58:25,PROD-012,386,13,260
TRANS-04457,26-02-2023,00:21:56,PROD-111,386,4,720
TRANS-00286,08-04-2019,15:07:02,PROD-046,390,7,70
TRANS-03939,05-09-2022,14:34:29,PROD-061,391,12,480
TRANS-03222,08-01-2022,14:44:03,PROD-141,392,3,540
TRANS-04012,26-09-2022,04:20:40,PROD-017,393,6,90
TRANS-03485,06-04-2022,11:47:01,PROD-103,395,4,100
TRANS-01486,25-05-2020,23:21:46,PROD-126,397,10,250
TRANS-04303,02-01-2023,21:37:20,PROD-012,400,14,280
TRANS-02006,20-11-2020,20:42:50,PROD-136,402,7,175
TRANS-02252,16-02-2021,12:51:51,PROD-078,403,2,140
TRANS-00380,13-05-2019,06:24:44,PROD-058,404,6,180
TRANS-03811,31-07-2022,11:29:11,PROD-085,404,15,225
TRANS-02191,26-01-2021,11:15:09,PROD-077,418,16,160
TRANS-00399,21-05-2019,05:07:39,PROD-029,421,4,280
TRANS-04443,22-02-2023,01:21:56,PROD-114,421,17,85
TRANS-01251,03-03-2020,10:32:25,PROD-014,437,12,480
TRANS-02592,12-06-2021,21:50:48,PROD-101,437,16,480
TRANS-04557,02-04-2023,12:17:57,PROD-025,440,8,400
TRANS-00351,03-05-2019,01:45:34,PROD-103,441,3,75
TRANS-02065,14-12-2020,21:46:32,PROD-025,445,12,600
TRANS-00968,05-12-2019,19:48:27,PROD-046,446,19,190
TRANS-02031,30-11-2020,02:28:20,PROD-066,452,10,300
TRANS-03266,22-01-2022,03:56:41,PROD-109,453,15,2250
TRANS-03901,24-08-2022,22:10:13,PROD-038,462,16,400
TRANS-00940,29-11-2019,05:04:51,PROD-038,463,13,325
TRANS-02934,09-10-2021,03:21:06,PROD-056,470,13,910
TRANS-01570,25-06-2020,23:09:55,PROD-090,471,20,200
TRANS-00763,28-09-2019,00:51:39,PROD-015,478,13,1040
TRANS-04514,17-03-2023,22:34:24,PROD-088,486,16,480
TRANS-00644,21-08-2019,14:24:53,PROD-072,490,1,15
TRANS-02996,26-10-2021,23:57:07,PROD-087,490,15,75
TRANS-00563,27-07-2019,07:02:51,PROD-020,494,7,70
TRANS-01391,24-04-2020,21:23:25,PROD-093,495,5,50
TRANS-03450,26-03-2022,19:36:47,PROD-088,495,2,60
TRANS-01117,18-01-2020,13:00:45,PROD-020,498,12,120
TRANS-02559,01-06-2021,14:33:43,PROD-023,501,7,140
TRANS-00270,02-04-2019,09:08:06,PROD-111,506,4,720
TRANS-00322,24-04-2019,15:08:32,PROD-065,507,7,140
TRANS-02307,08-03-2021,13:48:17,PROD-129,508,6,1500
TRANS-01076,07-01-2020,09:26:35,PROD-008,512,2,120
TRANS-00764,28-09-2019,06:48:30,PROD-119,515,17,680
TRANS-04269,21-12-2022,06:16:22,PROD-066,519,8,240
TRANS-01533,12-06-2020,06:22:47,PROD-072,523,7,105
TRANS-02585,09-06-2021,03:35:57,PROD-003,524,7,560
TRANS-01225,25-02-2020,06:47:18,PROD-047,534,16,400
TRANS-01555,20-06-2020,00:45:56,PROD-046,534,13,130
TRANS-04639,01-05-2023,01:57:30,PROD-089,539,1,15
TRANS-02844,09-09-2021,22:08:01,PROD-019,540,20,2400
TRANS-02914,30-09-2021,12:00:03,PROD-030,541,15,2250
TRANS-01871,06-10-2020,11:38:25,PROD-136,544,12,300
TRANS-01582,28-06-2020,08:48:41,PROD-073,545,7,140
TRANS-01750,26-08-2020,07:09:00,PROD-126,545,15,375
TRANS-02771,12-08-2021,21:24:53,PROD-051,546,20,400
TRANS-01270,11-03-2020,00:20:30,PROD-037,547,19,570
TRANS-00808,12-10-2019,16:42:20,PROD-137,548,15,1200
TRANS-04355,24-01-2023,21:49:59,PROD-130,550,5,150
TRANS-02105,28-12-2020,07:36:45,PROD-089,551,4,60
TRANS-03201,02-01-2022,17:07:00,PROD-038,555,15,375
TRANS-03609,22-05-2022,03:23:22,PROD-149,555,17,680
TRANS-00474,20-06-2019,12:04:48,PROD-017,556,19,285
TRANS-01394,25-04-2020,19:45:26,PROD-056,556,10,700
TRANS-04495,11-03-2023,01:02:23,PROD-155,556,12,480
TRANS-04921,08-08-2023,02:09:14,PROD-085,560,20,300
TRANS-03517,21-04-2022,15:36:24,PROD-076,561,1,25
TRANS-02490,10-05-2021,22:03:30,PROD-128,564,12,720
TRANS-02685,15-07-2021,12:35:00,PROD-151,564,20,1400
TRANS-00816,14-10-2019,06:51:21,PROD-075,571,18,270
TRANS-01904,15-10-2020,09:14:03,PROD-021,572,11,1100
TRANS-04189,22-11-2022,16:00:09,PROD-144,572,17,680
TRANS-02142,08-01-2021,08:57:25,PROD-062,574,15,375
TRANS-02020,26-11-2020,08:38:13,PROD-030,579,10,1500
TRANS-04017,27-09-2022,14:38:39,PROD-026,581,1,10
TRANS-04696,22-05-2023,22:33:22,PROD-044,583,10,400
TRANS-01221,23-02-2020,08:13:36,PROD-017,585,9,135
TRANS-00461,14-06-2019,16:42:05,PROD-099,588,11,880
TRANS-03379,03-03-2022,03:03:04,PROD-047,595,9,225
